Date,Option
0.015265,
0.014499,
0.012276,
0.015536,
0.013536,
0.014153,
0.014277,
0.014573,
0.013462,
0.014993,
0.014326,
0.015265,
0.014647,
0.017117,
0.016277,
0.016253,
0.017364,
0.018006,
0.017068,
0.018698,
0.018970,
0.018031,
0.019513,
0.019093,
0.018920,
0.018624,
0.021119,
0.019538,
0.020946,
0.022724,
0.021514,
0.024478,
0.023984,
0.024503,
0.025491,
0.024231,
0.025392,
0.025120,
0.025985,
0.024824,
0.024873,
0.024848,
0.023317,
0.024503,
0.023490,
0.021786,
0.022008,
0.019785,
0.018994,
0.018031,
0.015759,
0.013709,
0.012177,
0.010695,
0.009411,
0.008250,
0.006348,
0.005212,
0.003705,
0.001556,
0.001606,
0.000741,
0.000593,
-0.000469,
-0.000766,
-0.002347,
-0.001284,
-0.002174,
-0.001976,
-0.001062,
-0.002742,
-0.003977,
-0.002544,
-0.004792,
-0.002025,
-0.003236,
-0.002272,
-0.001655,
-0.001482,
-0.003285,
-0.001556,
-0.003952,
-0.004051,
-0.003952,
-0.005459,
-0.003359,
-0.004891,
-0.006076,
-0.006200,
-0.006595,
-0.007682,
-0.007114,
-0.007879,
-0.006644,
-0.008423,
-0.008670,
-0.006521,
-0.008694,
-0.006175,
-0.006718,
-0.004495,
-0.006274,
-0.005632,
-0.005088,
-0.006793,
-0.004742,
-0.004693,
-0.004965,
-0.006496,
-0.007756,
-0.006990,
-0.006521,
-0.008200,
-0.006743,
-0.008497,
-0.007287,
-0.005706,
-0.007040,
-0.007682,
-0.007064,
-0.007534,
-0.006323,
-0.006644,
-0.004323,
-0.005459,
-0.003903,
-0.003038,
-0.002668,
-0.000593,
-0.001482,
-0.001828,
-0.000148,
-0.000445,
0.002149,
0.000963,
0.001433,
0.001630,
0.000618,
0.001284,
0.003236,
0.004323,
0.002470,
0.005829,
0.005558,
0.005261,
0.006200,
0.008151,
0.007262,
0.008867,
0.009707,
0.011066,
0.011683,
0.009929,
0.012498,
0.011362,
0.012893,
0.013165,
0.013338,
0.014450,
0.015067,
0.014944,
0.014524,
0.016203,
0.013338,
0.015339,
0.014178,
0.011560,
0.013338,
0.011535,
0.012004,
0.010176,
0.009065,
0.007262,
0.007978,
0.004397,
0.004076,
0.003335,
0.002742,
0.001457,
-0.000049,
-0.000296,
-0.001630,
-0.003606,
-0.004273,
-0.003656,
-0.005212,
-0.006916,
-0.006941,
-0.010152,
-0.010053,
-0.010028,
-0.011658,
-0.012375,
-0.013387,
-0.014252,
-0.014375,
-0.018081,
-0.019488,
-0.020205,
-0.022329,
-0.022996,
-0.022601,
-0.022946,
-0.024972,
-0.026108,
-0.027417,
-0.027664,
-0.027985,
-0.028652,
-0.028776,
-0.028998,
-0.029961,
-0.029418,
-0.032333,
-0.031048,
-0.030875,
-0.033518,
-0.031863,
-0.030974,
-0.030455,
-0.032703,
-0.030653,
-0.029196,
-0.027886,
-0.027392,
-0.026701,
-0.026182,
-0.025095,
-0.022798,
-0.025589,
-0.022008,
-0.021909,
-0.021736,
-0.021514,
-0.019834,
-0.020106,
-0.016426,
-0.015783,
-0.013066,
-0.011955,
-0.011980,
-0.009658,
-0.009090,
-0.008719,
-0.007064,
-0.005286,
-0.003977,
-0.002544,
-0.001680,
-0.000173,
0.001507,
0.002396,
0.004076,
0.005236,
0.004767,
0.008719,
0.007114,
0.009164,
0.010078,
0.010176,
0.012350,
0.012078,
0.012078,
0.013412,
0.015117,
0.015660,
0.015858,
0.018130,
0.017685,
0.017759,
0.017068,
0.018624,
0.018451,
0.021588,
0.020551,
0.018105,
0.020304,
0.019810,
0.021909,
0.020872,
0.018846,
0.020452,
0.019908,
0.020896,
0.019810,
0.017710,
0.017093,
0.016697,
0.016747,
0.014499,
0.017216,
0.017315,
0.015907,
0.012869,
0.011239,
0.009238,
0.011387,
0.010325,
0.010868,
0.011560,
0.012498,
0.013412,
0.015981,
0.014054,
0.015462,
0.015759,
0.016500,
0.016302,
0.017018,
0.017315,
0.015141,
0.016327,
0.015388,
0.016895,
0.014869,
0.015709,
0.016722,
0.017414,
0.016895,
0.016673,
0.017216,
0.018031,
0.015783,
0.015833,
0.015981,
0.013684,
0.013116,
0.012721,
0.013289,
0.012375,
0.012795,
0.013363,
0.012202,
0.011980,
0.012572,
0.013437,
0.011486,
0.009954,
0.010547,
0.008719,
0.006817,
0.007608,
0.004718,
0.004792,
0.005236,
0.003853,
0.005236,
0.001136,
0.003211,
0.000716,
0.000148,
-0.003137,
-0.000790,
-0.000568,
-0.000963,
-0.002445,
-0.003878,
-0.002594,
-0.002643,
-0.003112,
-0.004076,
-0.004718,
-0.005730,
-0.005212,
-0.004742,
-0.004224,
-0.006817,
-0.005879,
-0.006694,
-0.006126,
-0.006471,
-0.007015,
-0.007855,
-0.008917,
-0.008744,
-0.010646,
-0.011980,
-0.013264,
-0.011288,
-0.012671,
-0.013832,
-0.014054,
-0.013560,
-0.014845,
-0.014425,
-0.015388,
-0.017315,
-0.014598,
-0.014795,
-0.014524,
-0.013610,
-0.015833,
-0.016129,
-0.016450,
-0.015783,
-0.014598,
-0.016055,
-0.016673,
-0.016129,
-0.019316,
-0.016747,
-0.017982,
-0.017834,
-0.019414,
-0.017018,
-0.016722,
-0.016426,
-0.015660,
-0.015808,
-0.014128,
-0.013338,
-0.012474,
-0.013091,
-0.011115,
-0.011313,
-0.011041,
-0.008003,
-0.009312,
-0.006916,
-0.007015,
-0.005656,
-0.003878,
-0.004520,
-0.004174,
-0.002692,
-0.001803,
-0.000494,
0.000642,
0.000074,
0.000321,
0.001927,
0.001482,
0.001013,
0.001037,
-0.000371,
0.001136,
0.001877,
0.002668,
0.004248,
0.003927,
0.005434,
0.006471,
0.007138,
0.007583,
0.008003,
0.008546,
0.007682,
0.009040,
0.008077,
0.010374,
0.010028,
0.008546,
0.009386,
0.009238,
0.010078,
0.010646,
0.011288,
0.009460,
0.009658,
0.011189,
0.009658,
0.010423,
0.010917,
0.009213,
0.008250,
0.007287,
0.007040,
0.008546,
0.006373,
0.007212,
0.005953,
0.007756,
0.007138,
0.005582,
0.005508,
0.005730,
0.005607,
0.006052,
0.002569,
0.005656,
0.004051,
0.002495,
0.002297,
0.003260,
0.003335,
0.003532,
0.004347,
0.004520,
0.004495,
0.005780,
0.006299,
0.007089,
0.010078,
0.008028,
0.008225,
0.009090,
0.010152,
0.010374,
0.009287,
0.008867,
0.010621,
0.011733,
0.009707,
0.008670,
0.011041,
0.008966,
0.009682,
0.010572,
0.009460,
0.011066,
0.010596,
0.012770,
0.011016,
0.012572,
0.011856,
0.009905,
0.011930,
0.011239,
0.012004,
0.010819,
0.009287,
0.010621,
0.010399,
0.007583,
0.006990,
0.004347,
0.005706,
0.003483,
0.003162,
0.001729,
0.000865,
0.001383,
0.000198,
-0.001112,
-0.004520,
-0.002075,
-0.003483,
-0.003730,
-0.003853,
-0.004570,
-0.006422,
-0.008596,
-0.008744,
-0.006965,
-0.008151,
-0.007706,
-0.009757,
-0.010176,
-0.012004,
-0.011486,
-0.011066,
-0.013116,
-0.012893,
-0.010992,
-0.010843,
-0.010893,
-0.009485,
-0.008571,
-0.010300,
-0.009287,
-0.008151,
-0.006323,
-0.007904,
-0.007608,
-0.006941,
-0.004150,
-0.002766,
-0.002668,
-0.000815,
0.000889,
0.002421,
0.004594,
0.004570,
0.004668,
0.006422,
0.006224,
0.010053,
0.011535,
0.011831,
0.016821,
0.018575,
0.018476,
0.019563,
0.024033,
0.024799,
0.025342,
0.026701,
0.025639,
0.025787,
0.024552,
0.025466,
0.026034,
0.025713,
0.025812,
0.027047,
0.025342,
0.027318,
0.026948,
0.029640,
0.028282,
0.028380,
0.028998,
0.029319,
0.029813,
0.029196,
0.028578,
0.028183,
0.028578,
0.026034,
0.027590,
0.026775,
0.027294,
0.026454,
0.025565,
0.025145,
0.024750,
0.025169,
0.026849,
0.025367,
0.026034,
0.026479,
0.026207,
0.026874,
0.026775,
0.027269,
0.026750,
0.025491,
0.024601,
0.026528,
0.021860,
0.023465,
0.022452,
0.022650,
0.021489,
0.020081,
0.019661,
0.019291,
0.017537,
0.014647,
0.013363,
0.011337,
0.009510,
0.008299,
0.007015,
0.006224,
0.003730,
0.002692,
0.000939,
-0.001729,
-0.001877,
-0.005138,
-0.006521,
-0.006891,
-0.008892,
-0.012078,
-0.012152,
-0.012375,
-0.013264,
-0.016574,
-0.016870,
-0.015759,
-0.017117,
-0.019217,
-0.021810,
-0.023366,
-0.024577,
-0.025046,
-0.026083,
-0.030233,
-0.029838,
-0.031789,
-0.031023,
-0.032333,
-0.032777,
-0.032308,
-0.031172,
-0.031345,
-0.029245,
-0.029838,
-0.028949,
-0.029739,
-0.027837,
-0.027788,
-0.026034,
-0.025614,
-0.026726,
-0.025589,
-0.024725,
-0.023910,
-0.023613,
-0.023268,
-0.021983,
-0.021983,
-0.020872,
-0.020057,
-0.017611,
-0.019291,
-0.019291,
-0.018550,
-0.017685,
-0.018031,
-0.015042,
-0.017488,
-0.014993,
-0.014944,
-0.014153,
-0.014425,
-0.012844,
-0.014054,
-0.010201,
-0.012844,
-0.011955,
-0.011683,
-0.007855,
-0.010275,
-0.011016,
-0.011387,
-0.011757,
-0.010942,
-0.010794,
-0.011164,
-0.011807,
-0.010695,
-0.010992,
-0.008892,
-0.011090,
-0.009929,
-0.010275,
-0.010423,
-0.011016,
-0.012128,
-0.012375,
-0.015141,
-0.015833,
-0.015141,
-0.018352,
-0.019118,
-0.019538,
-0.019365,
-0.020921,
-0.023144,
-0.024354,
-0.023292,
-0.026874,
-0.027096,
-0.029986,
-0.029739,
-0.029937,
-0.031172,
-0.031567,
-0.031246,
-0.031789,
-0.029862,
-0.031295,
-0.029270,
-0.029986,
-0.029714,
-0.029986,
-0.027442,
-0.029714,
-0.029393,
-0.028603,
-0.028455,
-0.026800,
-0.026800,
-0.026429,
-0.024997,
-0.024774,
-0.025293,
-0.025244,
-0.023070,
-0.022329,
-0.020970,
-0.020674,
-0.017562,
-0.018426,
-0.017908,
-0.015018,
-0.011807,
-0.013116,
-0.010843,
-0.008299,
-0.007904,
-0.006471,
-0.004372,
-0.001729,
-0.001309,
-0.000692,
0.002717,
0.003384,
0.004125,
0.005335,
0.007632,
0.009485,
0.007756,
0.009534,
0.010152,
0.010423,
0.013906,
0.014919,
0.015586,
0.016747,
0.016771,
0.017982,
0.019958,
0.019167,
0.020970,
0.021489,
0.020057,
0.021958,
0.023490,
0.024626,
0.025886,
0.029541,
0.027121,
0.027516,
0.027911,
0.028035,
0.030208,
0.030999,
0.030727,
0.030999,
0.032431,
0.032728,
0.031863,
0.032629,
0.031814,
0.030184,
0.032505,
0.031048,
0.031270,
0.031690,
0.030727,
0.031789,
0.030999,
0.032678,
0.031221,
0.030208,
0.030505,
0.030579,
0.030974,
0.030554,
0.029937,
0.027788,
0.027541,
0.028726,
0.027961,
0.029418,
0.026479,
0.024799,
0.023021,
0.023218,
0.022527,
0.020452,
0.020378,
0.020081,
0.019735,
0.018599,
0.018747,
0.016895,
0.016030,
0.018081,
0.016105,
0.014153,
0.013906,
0.013832,
0.013387,
0.012128,
0.010473,
0.010547,
0.010251,
0.007361,
0.007879,
0.008522,
0.007583,
0.007756,
0.006422,
0.005558,
0.003384,
0.003557,
0.001976,
0.001013,
-0.001556,
0.000198,
-0.002544,
-0.001803,
-0.002495,
-0.004273,
-0.003063,
-0.006126,
-0.004817,
-0.005879,
-0.007385,
-0.005903,
-0.008719,
-0.009880,
-0.009633,
-0.011708,
-0.012943,
-0.014721,
-0.015833,
-0.015289,
-0.014153,
-0.017636,
-0.018229,
-0.019785,
-0.019661,
-0.022551,
-0.020896,
-0.022625,
-0.024428,
-0.023885,
-0.024824,
-0.025095,
-0.026577,
-0.026306,
-0.026157,
-0.025985,
-0.026948,
-0.027022,
-0.026874,
-0.028133,
-0.027170,
-0.027812,
-0.027886,
-0.027121,
-0.027047,
-0.027911,
-0.025268,
-0.026207,
-0.026479,
-0.025861,
-0.025046,
-0.023169,
-0.023440,
-0.020575,
-0.020872,
-0.020773,
-0.019266,
-0.018994,
-0.017117,
-0.017290,
-0.016352,
-0.015240,
-0.015265,
-0.014622,
-0.013165,
-0.010646,
-0.011189,
-0.010053,
-0.010843,
-0.010226,
-0.009806,
-0.009016,
-0.008200,
-0.009164,
-0.007706,
-0.006200,
-0.004100,
-0.002964,
-0.003063,
-0.001260,
-0.001235,
0.001630,
0.000296,
0.002791,
0.002915,
0.002174,
0.002371,
0.002075,
0.001013,
-0.000296,
0.000148,
0.001581,
-0.000593,
0.002050,
0.001927,
0.000889,
0.002050,
-0.000074,
0.000692,
0.000988,
0.001556,
-0.001062,
0.000272,
0.000000,
-0.001778,
-0.000642,
-0.000593,
0.002198,
0.000346,
0.001309,
0.003038,
0.002174,
0.001457,
0.002421,
0.003977,
0.003730,
0.002717,
0.003236,
0.003829,
0.005113,
0.004372,
0.006274,
0.004397,
0.004372,
0.004742,
0.004174,
0.004323,
0.005607,
0.005064,
0.006546,
0.005632,
0.005533,
0.005187,
0.006076,
0.004866,
0.005162,
0.004841,
0.003754,
0.003186,
0.002791,
0.002939,
0.002272,
0.000815,
0.002445,
0.000865,
-0.000222,
0.000914,
-0.000741,
0.000963,
-0.000445,
0.001013,
-0.000173,
0.001606,
0.004248,
0.003458,
0.003335,
0.004619,
0.003285,
0.004841,
0.003927,
0.004174,
0.002668,
0.002025,
0.001951,
0.001013,
0.001581,
0.000865,
0.000568,
0.000222,
-0.000519,
-0.000222,
-0.002297,
-0.001210,
-0.001902,
-0.002915,
-0.001161,
-0.004347,
-0.004199,
-0.002470,
-0.004520,
-0.004224,
-0.004668,
-0.003013,
-0.002001,
-0.002569,
0.000124,
-0.000420,
-0.001309,
0.000914,
-0.000469,
-0.002569,
-0.002322,
-0.000988,
-0.005014,
-0.003013,
-0.004026,
-0.005829,
-0.006521,
-0.007336,
-0.005780,
-0.006373,
-0.008349,
-0.007188,
-0.008151,
-0.010152,
-0.012745,
-0.012424,
-0.013066,
-0.012671,
-0.012548,
-0.012646,
-0.012721,
-0.010967,
-0.009954,
-0.010720,
-0.010843,
-0.011090,
-0.012646,
-0.009485,
-0.010967,
-0.010670,
-0.009831,
-0.008966,
-0.008176,
-0.007682,
-0.006644,
-0.006595,
-0.006150,
-0.007879,
-0.005903,
-0.007287,
-0.005212,
-0.007212,
-0.006916,
-0.007929,
-0.008299,
-0.008818,
-0.010300,
-0.010028,
-0.010868,
-0.012424,
-0.011881,
-0.013412,
