Date,Option
0.010226,
0.010794,
0.010819,
0.012152,
0.011164,
0.012770,
0.012054,
0.013017,
0.012227,
0.012202,
0.011733,
0.012375,
0.012029,
0.013881,
0.014573,
0.013980,
0.013610,
0.012819,
0.012449,
0.014474,
0.013042,
0.014153,
0.011387,
0.012646,
0.012498,
0.012523,
0.011387,
0.012128,
0.012078,
0.010152,
0.010868,
0.009238,
0.009238,
0.008744,
0.008126,
0.008818,
0.007237,
0.008398,
0.005706,
0.006793,
0.006546,
0.007756,
0.009213,
0.006521,
0.003878,
0.004841,
0.004619,
0.002594,
0.003433,
0.001433,
0.001161,
0.002470,
0.003779,
0.000593,
0.002643,
0.000321,
0.000618,
-0.000074,
-0.000469,
0.000148,
-0.001037,
-0.000247,
-0.001507,
-0.001359,
-0.001482,
-0.002865,
-0.000247,
-0.002618,
-0.001680,
-0.001408,
-0.003186,
-0.001976,
0.001408,
0.000963,
0.002421,
0.003829,
0.005212,
0.007287,
0.005286,
0.005187,
0.007114,
0.008324,
0.006891,
0.009213,
0.009312,
0.009979,
0.011535,
0.013140,
0.013313,
0.012893,
0.014153,
0.014277,
0.014178,
0.014548,
0.015042,
0.018179,
0.017093,
0.018179,
0.017117,
0.017241,
0.017315,
0.016228,
0.015783,
0.014869,
0.014474,
0.017858,
0.016648,
0.015981,
0.018500,
0.019538,
0.020131,
0.021267,
0.024132,
0.023391,
0.024181,
0.027244,
0.026898,
0.026404,
0.028183,
0.026454,
0.025589,
0.026701,
0.025738,
0.026824,
0.024577,
0.027071,
0.026083,
0.027170,
0.026824,
0.027714,
0.029467,
0.029294,
0.027639,
0.029714,
0.029245,
0.030035,
0.030678,
0.030085,
0.029418,
0.029937,
0.029023,
0.030060,
0.027936,
0.027294,
0.027220,
0.026528,
0.026034,
0.025491,
0.022378,
0.023095,
0.022156,
0.020427,
0.020551,
0.017562,
0.018624,
0.017340,
0.017512,
0.016302,
0.014030,
0.015240,
0.013758,
0.010992,
0.012202,
0.010349,
0.006224,
0.006175,
0.004792,
0.003853,
0.001507,
0.000099,
0.000815,
-0.000469,
-0.001606,
-0.002643,
-0.003754,
-0.003903,
-0.004001,
-0.003680,
-0.002766,
-0.003458,
-0.002569,
-0.003137,
-0.000272,
-0.001235,
-0.003038,
-0.000889,
-0.002198,
-0.003804,
-0.002717,
-0.004100,
-0.002297,
-0.003063,
-0.004866,
-0.004471,
-0.001729,
-0.001457,
0.001482,
0.002890,
0.003236,
0.004940,
0.007163,
0.008991,
0.011189,
0.010695,
0.012474,
0.014128,
0.015289,
0.017932,
0.017685,
0.020748,
0.019365,
0.019019,
0.019464,
0.019241,
0.019933,
0.021217,
0.020476,
0.019439,
0.017340,
0.017834,
0.019019,
0.019044,
0.018229,
0.017265,
0.015586,
0.016648,
0.017982,
0.016401,
0.015536,
0.014203,
0.014573,
0.013832,
0.013832,
0.013536,
0.011609,
0.009979,
0.009682,
0.009065,
0.009213,
0.009510,
0.007163,
0.004841,
0.006249,
0.004989,
0.006175,
0.005730,
0.004495,
