Date,Option
-0.013980,
-0.015882,
-0.016920,
-0.018599,
-0.019118,
-0.017883,
-0.020007,
-0.019884,
-0.021983,
-0.023564,
-0.023193,
-0.024774,
-0.023268,
-0.023712,
-0.023959,
-0.024256,
-0.024848,
-0.024058,
-0.024601,
-0.023984,
-0.023762,
-0.024256,
-0.023119,
-0.022650,
-0.020476,
-0.020946,
-0.018328,
-0.018747,
-0.016253,
-0.015364,
-0.012844,
-0.012844,
-0.010399,
-0.009040,
-0.006669,
-0.004323,
-0.004471,
-0.001260,
-0.002075,
0.000914,
0.001556,
0.003680,
0.003631,
0.005829,
0.007237,
0.008769,
0.008472,
0.010275,
0.010893,
0.012276,
0.016796,
0.016154,
0.014697,
0.014647,
0.016105,
0.017587,
0.018772,
0.019488,
0.021613,
0.020872,
0.024626,
0.025071,
0.026824,
0.028850,
0.025219,
0.030233,
0.027738,
0.028825,
0.029591,
0.029023,
0.027590,
0.028133,
0.027516,
0.027294,
0.025713,
0.026306,
0.025021,
0.023712,
0.022798,
0.023885,
0.022576,
0.020674,
0.019711,
0.019069,
0.015833,
0.016673,
0.013931,
0.012597,
0.011140,
0.009707,
0.009213,
0.006175,
0.006570,
0.005360,
0.006471,
0.004347,
0.003211,
0.003680,
0.003483,
-0.000173,
0.000716,
0.000395,
-0.001112,
-0.000914,
-0.001087,
-0.003433,
-0.002445,
-0.003285,
-0.005113,
-0.004718,
-0.003359,
-0.005558,
-0.004742,
-0.005113,
-0.004866,
-0.004866,
-0.005236,
-0.006002,
-0.005879,
-0.003359,
-0.003829,
-0.003063,
-0.003557,
-0.003335,
-0.004323,
-0.003483,
-0.004742,
-0.004767,
-0.003335,
-0.001680,
-0.000568,
0.000445,
0.001877,
0.003285,
0.004841,
0.005780,
0.007212,
0.007929,
0.009855,
0.009658,
0.011683,
0.013906,
0.012918,
0.012819,
0.014993,
0.016920,
0.016574,
0.016722,
0.018155,
0.015734,
0.017858,
0.017117,
0.017537,
0.018105,
